Folio Muestra,Fecha,Municipio,Coliformes Fecales,Color,pH,Ion Fluoruro,Sólidos Disueltos Totales,Dureza Total (CaCO3),Cloro Libre Residual
001482,2 de junio de 2025,Zapopan,No Detectado,Dentro de Norma,Dentro de Norma,Fuera de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
001666,12 de junio de 2025,Tonalá,No Realizado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
001685,12 de junio de 2025,Zapopan,No Detectado,Dentro de Norma,Dentro de Norma,Fuera de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma
001663,12 de junio de 2025,Zapopan,No Detectado,Dentro de Norma,Dentro de Norma,Fuera de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma
001685,13 de junio de 2025,Tlaquepaque,No Realizado,Dentro de Norma,Dentro de Norma,Fuera de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
001705,16 de junio de 2025,Zapopan,No Realizado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
001750,19 de junio de 2025,Zapopan,No Realizado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma
001751,19 de junio de 2025,Zapopan,No Realizado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma
001834,30 de junio de 2025,Zapopan,No Realizado,Dentro de Norma,Dentro de Norma,Fuera de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
001911,8 de julio de 2025,Zapopan,No Realizado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
002015,10 de julio de 2025,Tonalá,No Realizado,Fuera de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
002011,10 de julio de 2025,Zapopan,No Realizado,Dentro de Norma,Dentro de Norma,Fuera de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
002060,15 de julio de 2025,Zapopan,No Detectado,Dentro de Norma,Dentro de Norma,Fuera de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma
002272,4 de agosto de 2025,Guadalajara,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
